Distance (cm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
46.0,5.070919036865234,5.231330871582031,-6.540958881378174,0.061019908636808395,-0.05489126965403557,0.029044410213828087,30.39470672607422
46.0,5.0685248374938965,5.216965675354004,-6.543353080749512,0.06075344607234001,-0.05515773221850395,0.028777947649359703,30.37117576599121
45.0,5.070919036865234,5.228936672210693,-6.540958881378174,0.061019908636808395,-0.05515773221850395,0.028777947649359703,30.368234634399414
45.0,5.066130638122559,5.231330871582031,-6.555324077606201,0.061019908636808395,-0.054624807089567184,0.028777947649359703,30.359411239624023
46.0,5.073313236236572,5.228936672210693,-6.531382083892822,0.061019908636808395,-0.05489126965403557,0.029044410213828087,30.35352897644043
49.0,5.061342239379883,5.22175407409668,-6.53377628326416,0.06075344607234001,-0.054624807089567184,0.02931087277829647,30.347646713256836
50.0,5.078101634979248,5.228936672210693,-6.543353080749512,0.06048698350787163,-0.05515773221850395,0.02931087277829647,30.341764450073242
46.0,5.0685248374938965,5.228936672210693,-6.538564682006836,0.06128636747598648,-0.05489126965403557,0.029044410213828087,30.32411766052246
49.0,5.061342239379883,5.216965675354004,-6.550535678863525,0.06128636747598648,-0.05489126965403557,0.029044410213828087,30.318235397338867
46.0,5.073313236236572,5.214571475982666,-6.555324077606201,0.06155283376574516,-0.055424198508262634,0.02931087277829647,30.309412002563477
46.0,5.073313236236572,5.228936672210693,-6.543353080749512,0.06128636747598648,-0.05515773221850395,0.029044410213828087,30.300588607788086
46.0,5.0685248374938965,5.233725070953369,-6.536170482635498,0.061019908636808395,-0.05489126965403557,0.029044410213828087,30.30647087097168
46.0,5.070919036865234,5.2265424728393555,-6.536170482635498,0.06155283376574516,-0.05489126965403557,0.028777947649359703,30.291765213012695
45.0,5.07570743560791,5.2265424728393555,-6.538564682006836,0.06128636747598648,-0.05515773221850395,0.029044410213828087,30.294706344604492
49.0,5.078101634979248,5.2265424728393555,-6.531382083892822,0.061019908636808395,-0.054624807089567184,0.029044410213828087,30.27705955505371
46.0,5.066130638122559,5.231330871582031,-6.538564682006836,0.06128636747598648,-0.054624807089567184,0.02931087277829647,30.282941818237305
46.0,5.066130638122559,5.228936672210693,-6.540958881378174,0.061019908636808395,-0.05515773221850395,0.029044410213828087,30.259410858154297
46.0,5.073313236236572,5.231330871582031,-6.536170482635498,0.06128636747598648,-0.055424198508262634,0.029044410213828087,30.2564697265625
46.0,5.07570743560791,5.216965675354004,-6.540958881378174,0.06155283376574516,-0.055424198508262634,0.02931087277829647,30.244705200195312
45.0,5.061342239379883,5.214571475982666,-6.543353080749512,0.06128636747598648,-0.055424198508262634,0.028777947649359703,30.241764068603516
46.0,5.056553840637207,5.219359874725342,-6.538564682006836,0.06128636747598648,-0.05515773221850395,0.029044410213828087,30.24764633178711
49.0,5.0685248374938965,5.231330871582031,-6.531382083892822,0.06128636747598648,-0.05515773221850395,0.028777947649359703,30.24764633178711
46.0,5.066130638122559,5.22175407409668,-6.538564682006836,0.06155283376574516,-0.05515773221850395,0.028777947649359703,30.22705841064453
50.0,5.061342239379883,5.228936672210693,-6.562506675720215,0.06128636747598648,-0.05515773221850395,0.02931087277829647,30.23882293701172
49.0,5.058948040008545,5.228936672210693,-6.53377628326416,0.061019908636808395,-0.05489126965403557,0.029044410213828087,30.22705841064453
49.0,5.066130638122559,5.231330871582031,-6.5265936851501465,0.06128636747598648,-0.054624807089567184,0.029044410213828087,30.224117279052734
46.0,5.058948040008545,5.22175407409668,-6.550535678863525,0.061019908636808395,-0.05489126965403557,0.02851148694753647,30.224117279052734
46.0,5.058948040008545,5.219359874725342,-6.531382083892822,0.06128636747598648,-0.05489126965403557,0.028777947649359703,30.203529357910156
49.0,5.058948040008545,5.219359874725342,-6.543353080749512,0.061019908636808395,-0.05489126965403557,0.028777947649359703,30.20058822631836
46.0,5.070919036865234,5.22175407409668,-6.5481414794921875,0.06075344607234001,-0.05515773221850395,0.028777947649359703,30.203529357910156
50.0,5.061342239379883,5.216965675354004,-6.536170482635498,0.061019908636808395,-0.055424198508262634,0.02851148694753647,30.20058822631836
50.0,5.0685248374938965,5.214571475982666,-6.550535678863525,0.06128636747598648,-0.05515773221850395,0.028777947649359703,30.197647094726562
49.0,5.0685248374938965,5.22175407409668,-6.5265936851501465,0.06128636747598648,-0.05515773221850395,0.029044410213828087,30.188823699951172
46.0,5.073313236236572,5.228936672210693,-6.538564682006836,0.061019908636808395,-0.05569066107273102,0.029044410213828087,30.185882568359375
46.0,5.073313236236572,5.231330871582031,-6.524199485778809,0.06155283376574516,-0.055424198508262634,0.029044410213828087,30.18000030517578
41.0,5.073313236236572,5.17626428604126,-6.543353080749512,0.016254210844635963,-0.04796324670314789,0.023448698222637177,30.17117691040039
47.0,5.011064052581787,5.240907669067383,-6.560112476348877,0.06181929633021355,-0.05489126965403557,0.029843797907233238,30.156471252441406
47.0,5.008669853210449,5.245696067810059,-6.567295074462891,0.06155283376574516,-0.0543583482503891,0.029843797907233238,30.159412384033203
46.0,5.011064052581787,5.2480902671813965,-6.54574728012085,0.06075344607234001,-0.054624807089567184,0.029577335342764854,30.15353012084961
0.0,4.99669885635376,5.236119270324707,-6.572083473205566,0.06128636747598648,-0.054624807089567184,0.02931087277829647,30.15353012084961
46.0,5.003881454467773,5.238513469696045,-6.560112476348877,0.06155283376574516,-0.05622358247637749,0.029577335342764854,30.14470672607422
51.0,5.008669853210449,5.238513469696045,-6.562506675720215,0.06128636747598648,-0.05489126965403557,0.02931087277829647,30.138824462890625
46.0,4.999093055725098,5.250484466552734,-6.560112476348877,0.06155283376574516,-0.055424198508262634,0.02931087277829647,30.135881423950195
50.0,4.99669885635376,5.240907669067383,-6.567295074462891,0.061019908636808395,-0.055424198508262634,0.02931087277829647,30.106470108032227
46.0,4.99669885635376,5.238513469696045,-6.576871871948242,0.061019908636808395,-0.05489126965403557,0.02931087277829647,30.124116897583008
46.0,5.003881454467773,5.250484466552734,-6.567295074462891,0.06075344607234001,-0.05515773221850395,0.029044410213828087,30.118234634399414
51.0,4.999093055725098,5.243301868438721,-6.560112476348877,0.061019908636808395,-0.05489126965403557,0.029843797907233238,30.109411239624023
50.0,4.999093055725098,5.236119270324707,-6.5481414794921875,0.061019908636808395,-0.05515773221850395,0.029044410213828087,30.100587844848633
50.0,5.0014872550964355,5.236119270324707,-6.555324077606201,0.061019908636808395,-0.055424198508262634,0.029044410213828087,30.100587844848633
46.0,5.008669853210449,5.2265424728393555,-6.562506675720215,0.06075344607234001,-0.055424198508262634,0.029577335342764854,30.097646713256836
46.0,4.999093055725098,5.245696067810059,-6.552929878234863,0.06128636747598648,-0.055424198508262634,0.02931087277829647,30.08588218688965
46.0,4.999093055725098,5.243301868438721,-6.574477672576904,0.06155283376574516,-0.05515773221850395,0.029577335342764854,30.097646713256836
50.0,5.0014872550964355,5.243301868438721,-6.564900875091553,0.061019908636808395,-0.05569066107273102,0.02931087277829647,30.091764450073242
47.0,5.003881454467773,5.257667064666748,-6.574477672576904,0.06075344607234001,-0.05489126965403557,0.029044410213828087,30.08294105529785
46.0,4.99669885635376,5.245696067810059,-6.560112476348877,0.061019908636808395,-0.055424198508262634,0.02931087277829647,30.071176528930664
46.0,4.989516258239746,5.245696067810059,-6.572083473205566,0.06075344607234001,-0.05489126965403557,0.029044410213828087,30.088823318481445
46.0,5.0014872550964355,5.245696067810059,-6.557718276977539,0.061019908636808395,-0.05515773221850395,0.029044410213828087,30.077058792114258
50.0,4.994304656982422,5.238513469696045,-6.562506675720215,0.06075344607234001,-0.054624807089567184,0.02931087277829647,30.06529426574707
47.0,5.013458251953125,5.238513469696045,-6.564900875091553,0.06048698350787163,-0.05515773221850395,0.029044410213828087,30.059412002563477
50.0,5.003881454467773,5.233725070953369,-6.564900875091553,0.061019908636808395,-0.05515773221850395,0.028777947649359703,30.05647087097168
50.0,5.0014872550964355,5.240907669067383,-6.562506675720215,0.061019908636808395,-0.05489126965403557,0.02931087277829647,30.053529739379883
46.0,5.003881454467773,5.231330871582031,-6.564900875091553,0.06128636747598648,-0.055424198508262634,0.02931087277829647,30.05647087097168
49.0,5.018246650695801,5.178658485412598,-6.5912370681762695,0.051160797476768494,-0.0559571199119091,0.02717917412519455,30.05647087097168
48.0,5.035006046295166,5.006275653839111,-6.6630635261535645,0.07274425029754639,-0.0724777951836586,0.04369984567165375,30.0358829498291
0.0,6.586448669433594,5.037400245666504,-8.10437297821045,0.5974088907241821,0.3093629479408264,2.726710557937622,30.0388240814209
103.0,2.1092917919158936,-8.846575736999512,0.727837324142456,0.5958101153373718,1.4061225652694702,0.9336844682693481,30.0388240814209
0.0,1.8914192914962769,-9.272743225097656,1.6424223184585571,-0.054624807089567184,0.08873200416564941,0.2091730386018753,30.01823616027832
0.0,6.098031520843506,1.6280571222305298,-7.948749542236328,-1.1250046491622925,-1.0757089853286743,-1.0432006120681763,30.021177291870117
0.0,4.920084476470947,3.84269380569458,-6.303933143615723,0.15561409294605255,0.21690045297145844,0.10072281211614609,30.0064697265625
23.0,5.044582843780518,4.699818134307861,-6.825869083404541,0.13802756369113922,-0.05915467068552971,0.047696780413389206,30.01823616027832
84.0,5.070919036865234,4.548983097076416,-6.962338447570801,0.06821439415216446,-0.054624807089567184,0.03277488425374031,30.030000686645508
84.0,5.0900726318359375,4.54419469833374,-6.988674640655518,0.0626186802983284,-0.05515773221850395,0.030909648165106773,30.003528594970703
